FacilityID,Name,Address,Phone,Code,Latitude,Longitude,階層,供用開始時間,供用終了時間,供用制限曜日,多目的トイレ
00001B000000000309A926259A4F9A02,名古屋市営地下鉄桜通線久屋大通駅,愛知県名古屋市中区錦3丁目48,052-953-4598,2,35.10.25.242,136.54.27.1531,2,始発,終電,,2
00001B000000000309A9B3A59CA19981,名古屋市営バス古出来町停留所,,,2,35.10.53.5074,136.56.25.9161,1,,,,0
00001B000000000309A8F3A598933401,ＪＲセントラルタワーズ,愛知県名古屋市中村区名駅1-1-4,052-586-7999,2,35.10.15.1476,136.52.58.218,54,07-00,24-00,,1
00001B000000000309A8F2A5987D1A01,名古屋市営地下鉄桜通線名古屋駅,愛知県名古屋市中村区名駅3-14-15,052-541-7120,2,35.10.14.9616,136.52.53.8887,2,始発,終電,,0
00001B000000000309A8C92598A81A01,名鉄バスセンター,愛知県名古屋市中村区名駅1-2-4,052-561-6381,2,35.10.6.6403,136.53.2.4423,2,06-00,20-00,,1
00001B000000000309A8BC2598839D81,中村警察署,愛知県名古屋市中村区椿町17-9,052-452-0110,2,35.10.4.0558,136.52.55.1951,9,,,,1
00001B000000000309A85F2598B81B81,ラ・バーモささしま,愛知県名古屋市中村区平池町4-60-14,,2,35.9.45.4315,136.53.5.6279,5,,,,1
00001B000000000309A8E32598BD3401,ミッドランドスクエア,愛知県名古屋市中村区名駅4-7-1,052-527-8877,2,35.10.11.8863,136.53.6.6185,54,07-00,24-00,,1
00001B000000000309A90BA5990A9A01,名古屋市営地下鉄桜通線国際センター駅,愛知県名古屋市中村区名駅4-13,052-561-5148,2,35.10.19.9446,136.53.22.1849,2,始発,終電,,1
00001B000000000309A8C6A59A251F81,丸榮,愛知県名古屋市中区栄3丁目3-1,052-264-1211,2,35.10.6.1652,136.54.18.6718,13,10-00,20-00,,1
00001B000000000309A892259A28A681,ナディアパーク,愛知県名古屋市中区栄3丁目18-1,052-265-2199,2,35.9.55.6686,136.54.19.3059,27,,,,0
00001B000000000309A8C5A59A519E81,名古屋三越　栄本店,愛知県名古屋市中区栄3丁目5-1,052-252-1111,2,35.10.5.9453,136.54.27.5631,11,10-00,20-00,,1
00001B000000000309A8B5A59A531D81,ラシック,愛知県名古屋市中区栄3丁目6-1,052-259-6666,2,35.10.2.711,136.54.27.8379,9,11-00,23-00,,1
00001B000000000309A8F0259A4E9B01,教育館,愛知県名古屋市中区錦3丁目16-6,052-961-2541,2,35.10.14.409,136.54.26.9339,4,09-00,21-00,,1
00001B000000000309A8BEA59A661981,バスターミナル噴水前,,,2,35.10.4.5553,136.54.31.6272,1,,,,0
00001B000000000309A8E2A59A619A81,名古屋市営地下鉄東山線栄駅,愛知県名古屋市中区栄三丁目5-12,052-971-5306,2,35.10.11.7111,136.54.30.7993,3,,,,2
00001B000000000309A926259A4F9A01,名古屋市営地下鉄名城線久屋大通駅,愛知県名古屋市中区錦3丁目48,052-953-4598,2,35.10.25.242,136.54.27.1531,2,始発,終電,,2
00001B000000000309A8F7A59A739A01,オアシス21,愛知県名古屋市東区東桜一丁目10-24,052-951-7101,2,35.10.15.9289,136.54.34.3171,2,,,,1
00001B000000000309A8F8259A7B9A01,栄バスターミナル,,,2,35.10.16.0176,136.54.35.9196,2,,,,1
00001B000000000309A8CBA59A809C01,中区役所,愛知県名古屋市中区栄4丁目1-8,052-241-3601,2,35.10.7.1307,136.54.36.9281,6,08-45,17-15,"6,7",1
00001B000000000309A876A59A671A01,名古屋市営地下鉄名城線矢場町駅,愛知県名古屋市中区栄3丁目31-13,052-262-1024,2,35.9.50.1076,136.54.31.8527,2,始発,終電,,1
00001B000000000309A892259A552081,松坂屋　名古屋店,愛知県名古屋市中区栄3丁目16-1,052-251-1111,2,35.9.55.6714,136.54.28.24,15,10-00,20-00,,1
00001B000000000309A8F4259A942181,芸術文化センター,愛知県名古屋市東区東桜1目13-2,052-971-5511,2,35.10.15.2011,136.54.40.8636,17,09-00,22-00,"第1月曜日,第3月曜日",2
00001B000000000309A88BA59ACB1C81,メディケア栄,愛知県名古屋市中区栄5丁目7-25,052-262‐7070,2,35.9.54.3846,136.54.51.8086,7,,,,1
00001B000000000309A86D259AC21A81,ヨナワールド,愛知県名古屋市中区栄5丁目21-9,052-251-4778,2,35.9.48.2213,136.54.50.074,3,09-00,18-00,"6,7",1
00001B000000000309A93825998E9A01,名古屋市営地下鉄桜通線丸の内駅,愛知県名古屋市中区丸の内2丁目16-1,052-201-3238,2,35.10.28.8454,136.53.48.5955,2,始発,終電,,2
00001B000000000309A8B22599909B81,御園座会館,愛知県名古屋市中区栄1丁目6-14,052-222-8204,2,35.10.2.0548,136.53.48.9767,5,,,,1
00001B000000000309A8D025999B1A01,名古屋市営地下鉄鶴舞線伏見駅,愛知県名古屋市中区錦2丁目16-24,052-231-6696,2,35.10.8.0306,136.53.51.0068,2,始発,終電,,2
00001B000000000309A885A599C49D81,名古屋市科学館,愛知県名古屋市中区栄2丁目17-1,052-201-4486,2,35.9.53.1803,136.53.59.3798,9,09-30,17-00,1,1
00001B000000000309A875A599D91A81,名古屋市美術館,愛知県名古屋市中区栄2丁目17-25,052-212-0001,2,35.9.49.9421,136.54.3.4098,3,09-30,17-00,1,1
00001B000000000309A83BA599A91A01,名古屋市営地下鉄鶴舞線大須観音駅,愛知県名古屋市中区大須2丁目10-39,052-231-7018,2,35.9.38.3856,136.53.53.8038,2,始発,終電,,2
00001B000000000309A82BA599BD9A01,大須観音,愛知県名古屋市中区大須2丁目21-47,052-231-6525,2,35.9.35.1067,136.53.57.9637,2,,,,0
00001B000000000309A7FC2599C01981,西別院文化ホール,愛知県名古屋市中区門前町1-23,052-321-0028,2,35.9.25.6044,136.53.58.4228,1,06-30,17-00,,0
00001B000000000309A84EA599FE9A01,名古屋中郵便局,愛知県名古屋市中区大須3丁目1-10,052-241-3771,2,35.9.42.1929,136.54.10.9718,2,09-00,19-00,,1
00001B000000000309A846A59A5D1A01,ランの館,愛知県名古屋市中区大須4丁目4-1,052-243-0511,2,35.9.40.5906,136.54.29.8633,2,10-00,20-00,3,1
00001B000000000309A809259A441A81,名古屋市営地下鉄名城線上前津駅,愛知県名古屋市中区大須4丁目11-15,052-262-1025,2,35.9.28.2649,136.54.24.8208,3,06-00,23-30,,0
00001B000000000309A77AA59A1B1A01,名古屋市営地下鉄名城線東別院駅,愛知県名古屋市中区大井町3-24,052-331-7850,2,35.8.59.7009,136.54.16.646,2,始発,終電,,2
00001B000000000309A99FA599AA1F81,名古屋高等裁判所,愛知県名古屋市中区三の丸1丁目4-1,052-203-1611,2,35.10.49.5132,136.53.54.0251,13,,,,2
00001B000000000309A9A62599E31E01,愛知県警察本部,愛知県名古屋市中区三の丸2丁目1-1,052-951-1611,2,35.10.50.8824,136.54.5.4001,10,09-00,17-15,"6,7",2
00001B000000000309A9962599FD9F01,名古屋合同庁舎第2号館,愛知県名古屋市中区三の丸2丁目5-1,,2,35.10.47.6686,136.54.10.7586,12,09-00,17-15,"6,7",2
00001B000000000309A998259A1B1F01,愛知県庁西庁舎,愛知県名古屋市中区三の丸3丁目1-2,052-460-8501,2,35.10.48.0186,136.54.16.658,12,,,,2
00001B000000000309A9B0A59A279A01,名古屋市営地下鉄名城線市役所駅,愛知県名古屋市中区三の丸3丁目1-1,052-971-4714,2,35.10.52.9939,136.54.19.182,2,始発,終電,,2
00001B000000000309A99BA59A3E1D01,愛知県庁,愛知県名古屋市中区三の丸3丁目1-2,052-961-2111,2,35.10.48.7212,136.54.23.6299,8,09-00,17-15,"6,7",2
00001B000000000309A9CC259AA79981,名古屋白壁郵便局,愛知県名古屋市東区白壁1丁目28,052-961-7396,2,35.10.58.4311,136.54.44.75,1,09-00,17-00,"6,7",0
00001B000000000309A938A59AE41A81,高岳福祉会館,愛知県名古屋市東区泉2丁目28-5,052-931-8174,2,35.10.28.9727,136.54.56.841,3,08-45,17-00,7,1
00001B000000000309A930259AE31A01,名古屋市営地下鉄桜通線高岳駅,愛知県名古屋市東区東桜2丁目1-2,052-937-4698,2,35.10.27.2538,136.54.56.6421,2,始発,終電,,2
00001B000000000309A9D7A59B539A81,名古屋東郵便局,愛知県名古屋市東区白壁5丁目11,052-931-2856,2,35.11.0.7602,136.55.19.1307,3,09-00,17-00,"6,7",1
00001B000000000309A98BA59B9C1B81,東区役所,愛知県名古屋市東区筒井1丁目7-74,052-935-2271,2,35.10.45.5106,136.55.33.6391,5,08-45,17-15,"6,7",1
00001B000000000309A971A59B911B81,東警察署,愛知県名古屋市東区筒井1丁目9-23,052-936-0110,2,35.10.40.3282,136.55.31.4689,5,,,,1
00001B000000000309A920A59BD91A01,名古屋市営地下鉄桜通線車道駅,愛知県名古屋市東区葵3丁目12,052-937-4798,2,35.10.24.1324,136.55.45.8538,2,始発,終電,,2
00001B000000000309AAA6259BF99A01,平安通郵便局,愛知県名古屋市北区平安1丁目4-30,052-914-6423,2,35.11.42.0385,136.55.52.3208,2,09-00,17-00,"6PM,7",0
00001B000000000309A9E5A59C1B1A01,徳川園,愛知県名古屋市東区徳川町1001,052-935-8988,2,35.11.3.5748,136.55.59.0508,2,09-30,17-30,1,1
00001B000000000309AAEAA59C859981,名古屋市営バス山田停留所,,,2,35.11.55.7812,136.56.20.3031,1,,,,0
00001B000000000309AA75259CA29B01,メッツ大曽根,愛知県名古屋市東区矢田町4,052-725-2300,2,35.11.32.2849,136.56.26.1173,4,10-00,22-00,,1
00001B000000000309AA56A59CFD9A01,名古屋市営地下鉄名城線ナゴヤドーム前矢田駅,愛知県名古屋市東区大幸1丁目1,052-721-7379,2,35.11.26.1148,136.56.44.3365,2,始発,終電,,1
00001B000000000309AA1AA59CE79A81,イオンナゴヤドーム前ショッピングセンター,愛知県名古屋市東区矢田南4丁目102-3,052-725-6700,2,35.11.14.1394,136.56.39.9359,3,09-00,23-00,,1
00001B000000000309AA29A59D189B81,カルポート東,愛知県名古屋市東区大幸南1丁目1,052-712-3901,2,35.11.17.1508,136.56.49.7381,5,09-00,21-30,1,1
00001B000000000309AA03259D1D1B81,ナゴヤドーム,愛知県名古屋市東区大幸南1丁目1-1,052-719-2121,2,35.11.9.4321,136.56.50.6344,5,,,,1
00001B000000000309A7742599C11A81,むつみグリーンハウス,愛知県名古屋市中区古渡町 9-18,052-322-5049,2,35.8.58.4173,136.53.58.6809,3,,,,1
00001B000000000309A73C2599F61C81,名古屋市音楽プラザ,愛知県名古屋市中区金山一丁目4-10,052-331-6041,2,35.8.47.2649,136.54.9.2337,7,09-00,21-30,1,1
00001B000000000309A72DA599E91A81,中京大学文化市民会館,愛知県名古屋市中区金山一丁目5-1,052-331-2141,2,35.8.44.3786,136.54.6.6449,3,09-00,21-30,,1
00001B000000000309A720A599D59D01,ダイエー金山店,愛知県名古屋市中区金山1丁目11-17,052-322-3611,2,35.8.41.7339,136.54.2.7191,8,09-30,23-00,,0
00001B000000000309A70F2599D91C01,アスナル金山,愛知県名古屋市中区金山1丁目17-1,052-324-8577,2,35.8.38.2484,136.54.3.408,6,10-00,22-00,,1
00001B000000000309A6F82599C79A81,名古屋ボストン美術館,愛知県名古屋市中区金山町1丁目1-1,052-684-0101,2,35.8.33.626,136.53.59.9527,3,10-00,19-00,1,1
00001B000000000309AA35259C5D1981,JR 大曽根駅南口,愛知県名古屋市東区東大曽根町46-6,052-731-0323,2,35.11.19.4542,136.56.12.2332,1,05-20,23-35,,0
00001B000000000309AAB7A59BDF9A01,名古屋市営地下鉄上飯田線平安通駅,愛知県名古屋市北区平安通一丁目15,052-916-2413,2,35.11.45.5444,136.55.47.1325,2,始発,終電,,1
00001B000000000309A9BFA59C2A9981,名古屋市営バス徳川園新出来町停留所,,,2,35.10.55.9964,136.56.2.1116,1,,,,0
00001B000000000309AA60259C5D1A81,名古屋鉄道 大曽根駅,愛知県名古屋市東区矢田南5五丁目2-6,052-981-1375,2,35.11.28.0618,136.56.12.2702,3,05-40,23-58,,1
00001B000000000309AA70259C599A01,名古屋市営地下鉄名城線大曽根駅,愛知県名古屋市北区山田1丁目5-10,052-911-0818,2,35.11.31.2771,136.56.11.5497,2,05-20,24-30,,2
00001B000000000309AA4AA59C649A01,JR 大曽根駅,愛知県名古屋市東区東大曽根町46-6,052-731-0323,2,35.11.23.798,136.56.13.7603,2,05-20,23-35,,2
00001B000000000309A6FF2599D71A01,名鉄　金山駅,愛知県名古屋市熱田区金山町1丁目1-18,052-683-7840,2,35.8.35.0147,136.54.3.0567,2,始発,終電,,2
00001B000000000309A70E2599E81A01,名古屋市営地下鉄 金山駅,愛知県名古屋市中区金山1丁目13-11,052-331-7550,2,35.8.38.0467,136.54.6.4096,2,始発,終電,,2
00001B000000000309A8DD2598A79A01,名鉄名古屋駅,愛知県名古屋市中村区名駅1-2-1,052-541-6318,2,35.10.10.67,136.53.2.3989,2,始発,終電,,2
00001B000000000309A8D4A598AD1A01,近鉄名古屋駅,愛知県名古屋市中村区名駅1-2-2,052-541-1094,2,35.10.8.9752,136.53.3.4643,2,始発,終電,,0
00001B000000000309A8F2A5987D1A02,名古屋市営地下鉄東山線名古屋駅,愛知県名古屋市中村区名駅3-14-15,052-541-7120,2,35.10.14.9616,136.52.53.8887,2,始発,終電,,2
00001B000000000309A8F2A5987D1A03,JR名古屋駅,愛知県名古屋市中村区名駅1-1-4,052-372-3910,2,35.10.14.9616,136.52.53.8887,2,始発,終電,,2
00001B000000000309A8D025999B1A02,名古屋市営地下鉄東山線伏見駅,愛知県名古屋市中区錦2丁目16-24,052-231-6696,2,35.10.8.0306,136.53.51.0068,2,始発,終電,,2
00001B000000000309A93825998E9A02,名古屋市営地下鉄鶴舞線丸の内駅,愛知県名古屋市中区丸の内2丁目16-1,052-201-3238,2,35.10.28.8454,136.53.48.5955,2,始発,終電,,2
00001B000000000309AAB7A59BDF9A02,名古屋市営地下鉄名城線平安通駅,愛知県名古屋市北区平安通一丁目15,052-916-2413,2,35.11.45.5444,136.55.47.1325,2,始発,終電,,1
00001B000000000309AA6AA59C6A1A01,ゆとりーとライン大曽根駅,愛知県名古屋市東区矢田南5丁目2,052-719-0721,2,35.11.30.1957,136.56.14.8909,2,05-30,23-20,,1
00001B000000000309AA50A59D1D1A01,ゆとりーとラインナゴヤドーム前矢田駅,愛知県名古屋市東区大幸1丁目1,,2,35.11.24.9696,136.56.50.6214,2,始発,終電,,1
00001B000000000309A9B2259A3B1C01,名古屋市役所本庁舎,愛知県名古屋市中区三の丸3丁目1-1,052-961-1111,2,35.10.53.2799,136.54.23.099,6,08-45,17-15,"6,7",2
00001B000000000309A9B1259A499E81,名古屋市役所東庁舎,愛知県名古屋市中区三の丸3丁目1-1,052-961-1111,2,35.10.53.0967,136.54.25.9182,11,08-45,17-15,"6,7",2
00001B000000000309A9ADA59A1E2081,名古屋市役所西庁舎,愛知県名古屋市中区三の丸3丁目1-1,052-961-1111,2,35.10.52.3051,136.54.17.2239,15,08-45,17-15,"6,7",1
00001B000000000309A6FF2599D71A02,ＪＲ金山駅,愛知県名古屋市中区金山1丁目17-18,,2,35.8.35.0147,136.54.3.0567,2,始発,終電,,2
00001B000000000309A8E2A59A619A82,名古屋市営地下鉄名城線栄駅,愛知県名古屋市中区栄三丁目5-12,052-971-5306,2,35.10.11.7111,136.54.30.7993,3,始発,終電,,2
00001B000000000309A8E2A59A619A83,名鉄瀬戸線栄町駅,愛知県名古屋市中区栄三丁目5-12,052-971-0608,2,35.10.11.7111,136.54.30.7993,3,始発,終電,,1
00001B000000000309A809259A441A82,名古屋市営地下鉄鶴舞線上前津駅,愛知県名古屋市中区大須4丁目11-15,052-262-1025,2,35.9.28.2649,136.54.24.8208,3,06-00,23-30,,0
